pup,Colony,density_5km,density_15km,density_30km,type,season,season_num,Date___fert,Name,pup_gender,pupSex,pup,FA_pup,pup_weight,comments,parasites,temprature_IMS,date,BMI,group,date_from_peak_spring,gc_numeric,date_from_peak_winter,real_year,age
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,50,NaN,,2,27.4,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,50,NaN,recapture from 02/08/21,1,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,1,M,1,50,28,,0,17.4,282,0.56,0,-29,,,0,
166,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -15,1,M,1,51,37,,8,16,89,0.725490196,1,,,,1,17.66612656
170,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -19,0,F,1,51,28,,1,16,89,0.549019608,1,,,,1,17.66612656
172,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -21,1,M,1,51,35,,1,16,89,0.68627451,1,,,,1,17.66612656
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,1,M,1,51,NaN,,0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,0,F,1,51,26,,2,17.4,282,0.509803922,0,-29,,,0,
163,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -11,1,M,1,52,32,,4,16,89,0.615384615,1,,,,1,18.92120419
165,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -14,0,F,1,52,31,,4,16,89,0.596153846,1,,,,1,18.92120419
173,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -22,1,M,1,52,29,,1,16,89,0.557692308,1,,,,1,18.92120419
178,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,1,26-Mar-0023,SH-4,0,F,1,52,31,,0,16.4,89,0.596153846,1,,,,1,18.92120419
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,0,F,1,52,NaN,,0,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,14-Apr-22,,1,M,1,52,32.2,,2,18.6,283,0.619230769,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,1,M,1,52,NaN,,0,27,43,#VALUE!,0,,,-66,0,
179,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,1,26-Mar-0023,SH-5,0,F,1,53,29,,1,16.4,89,0.547169811,1,,,,1,20.21139046
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,02-Aug-21,,1,M,1,53,NaN,,0,27.2,28,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,53,NaN,,3,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,0,F,1,53,NaN,,0,27.4,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,0,F,1,53,NaN,,0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,53,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,0,F,1,53,NaN,,1,25.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,54,NaN,,2,27.4,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,1,M,1,54,33,,1,17.4,282,0.611111111,0,-29,,,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,55,NaN,,1,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,14-Apr-22,,1,M,1,55,30,,0,18.6,283,0.545454545,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,20-Jul-21,,0,F,1,55,NaN,,NaN,26.4,15,#VALUE!,0,,,-94,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,0,F,1,55,26,,0,17.4,282,0.472727273,0,-29,,,0,
136,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-27,0,F,1,56,28,,2,17,94,0.5,1,,,,1,24.29562571
177,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,1,26-Mar-0023,SH-3,0,F,1,56,34,,2,16.4,89,0.607142857,1,,,,1,24.29562571
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,14-Apr-22,,0,F,1,56,29,,1,18.6,283,0.517857143,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,20-Jul-21,,1,M,1,56,NaN,,NaN,26.4,15,#VALUE!,0,,,-94,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,0,F,1,56,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,56,NaN,,0,25.5,71,#VALUE!,0,,,-37,0,
122,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-13,0,F,1,57,36,,1,17,94,0.631578947,1,,,,1,25.73650351
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,0,F,1,57,NaN,,1,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,1,M,1,57,NaN,,0,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,05-Jul-22,,0,F,1,57,38,,1,24.9,365,0.666666667,0,,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,0,F,1,57,NaN,,0,27,43,#VALUE!,0,,,-66,0,
