Var1,Colony,density_5km,density_15km,density_30km,type,season,Date___fert,Name,newChip,Sex,AGE,pupSex,pup,FA_mom,FA_pup,Weight_mom,pup_weight,preg_list,non_preg_list,min_reproductive_state,Reproductive_State,comments,BellyWidth,preg_parasites,parasites,nonpreg_parasites,temprature_IMS,,,date,BMI,preg_ratio,Reproductive_State_numeric,,min_morphology_numeric,min_morphology,morphology,group,real_year,winter_group,mom&preg
114,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-5,NaN,F,adult,,0,97,NaN,131,NaN,1,NaN,mom pup,mom pup,,36,0,0,NaN,17.7,,,91,1.354166667,0.333333333,0,,1,natural,marl cave,1,1,0,1
115,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-6,NaN,F,adult,F,1,93,62,102,30,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,17.7,,,91,1.322916667,0.333333333,0,,1,natural,marl cave,1,1,0,1
116,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-7,NaN,F,adult,,0,90,NaN,108,NaN,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,17.7,,,91,1.355555556,0.333333333,0,,1,natural,marl cave,1,1,0,1
117,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-8,NaN,F,adult,M,1,94,67,123,46,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,17.7,,,91,1.782608696,0.333333333,0,,1,natural,marl cave,1,1,0,1
118,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-9,NaN,F,adult,M,1,89,69,125,44,NaN,1,mom pup,mom pup,,NaN,NaN,3,3,17.7,,,91,1.586956522,0.333333333,0,,1,natural,marl cave,1,1,0,1
120,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-11,NaN,F,adult,M,1,95,66,123,41,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,17.7,,,91,1.365591398,0.333333333,0,,1,natural,marl cave,1,1,0,1
121,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-12,NaN,F,adult,F,1,94,68,125,43,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,17.7,,,101,1.395604396,0.409090909,0,,1,natural,marl cave,1,1,0,1
122,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-13,NaN,F,adult,F,1,93,57,106,36,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,17.7,,,101,1.527472527,0.409090909,0,,1,natural,marl cave,1,1,0,1
124,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-15,NaN,F,adult,M,1,95,69,116,44,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,17.7,,,101,1.466666667,0.409090909,0,,1,natural,marl cave,1,1,0,1
125,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-16,NaN,F,adult,M,1,98,65,121,40,NaN,1,mom pup,mom pup,,NaN,NaN,3,3,17.7,,,101,1.447916667,0.409090909,0,,1,natural,marl cave,1,1,0,1
127,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-18,NaN,F,adult,M,1,95,65,123,37,NaN,1,mom pup,mom pup,,NaN,NaN,3,3,17.7,,,101,1.188235294,0.409090909,0,,1,natural,marl cave,1,1,0,1
129,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-20,NaN,F,adult,F,1,95,67,113,30,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,17.7,,,101,1.343434343,0.409090909,0,,1,natural,marl cave,1,1,0,1
130,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-21,NaN,F,adult,M,1,95,66,118,40,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,17.7,,,101,1.27173913,0.409090909,0,,1,natural,marl cave,1,1,0,1
131,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-22,NaN,F,adult,F,1,95,66,113,33,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,17.7,,,101,1.354166667,0.409090909,0,,1,natural,marl cave,1,1,0,1
133,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-24,NaN,F,adult,M,1,95,60,125,37,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,17.7,,,101,0.966666667,0.409090909,0,,1,natural,marl cave,1,1,0,1
135,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-26,NaN,F,adult,M,1,95,62,108,35,NaN,1,mom pup,mom pup,,NaN,NaN,4,4,17.7,,,101,1.274725275,0.409090909,0,,1,natural,marl cave,1,1,0,1
136,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-27,NaN,F,adult,F,1,93,56,122,28,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,17.7,,,101,1.483146067,0.409090909,0,,1,natural,marl cave,1,1,0,1
137,Bridge,13151.92898,5691.626481,2502.979942,city,spring,22-Mar-0023,BR-1,NaN,F,adult,M,1,95,40,136,25,NaN,1,mom pup,mom pup,,NaN,NaN,3,3,16.4,,,101,1.107142857,0.409090909,0,,1,natural,marl cave,1,1,0,1
138,Bridge,13151.92898,5691.626481,2502.979942,city,spring,22-Mar-0023,BR-2,NaN,F,adult,M,1,91,39,126,23,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,16.4,,,101,1.428571429,0.409090909,0,,1,natural,marl cave,1,1,0,1
139,Bridge,13151.92898,5691.626481,2502.979942,city,spring,22-Mar-0023,BR-3,NaN,F,adult,M,1,93,42,147,24,NaN,1,mom pup,mom pup,,NaN,NaN,6,6,16.4,,,101,1.192771084,0.409090909,0,,1,natural,marl cave,1,1,0,1
141,Bridge,13151.92898,5691.626481,2502.979942,city,spring,22-Mar-0023,BR-5,NaN,F,adult,M,1,97,41,148,26,NaN,1,mom pup,mom pup,,NaN,NaN,3,3,16.4,,,101,1.28125,0.409090909,0,,1,natural,marl cave,1,1,0,1
142,Bridge,13151.92898,5691.626481,2502.979942,city,spring,22-Mar-0023,BR-6,NaN,F,adult,M,1,93,39,124,23,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,16.4,,,101,1.1875,0.409090909,0,,1,natural,marl cave,1,1,0,1
143,Bridge,13151.92898,5691.626481,2502.979942,city,spring,22-Mar-0023,BR-7,NaN,F,adult,F,1,95,36,137,20,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,16.4,,,101,1.4,0.409090909,0,,1,natural,marl cave,1,1,0,1
144,Bridge,13151.92898,5691.626481,2502.979942,city,spring,22-Mar-0023,BR-8,NaN,F,adult,M,1,92,44,133,25,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,16.4,,,101,1.692307692,0.409090909,0,,1,natural,marl cave,1,1,0,1
145,Bridge,13151.92898,5691.626481,2502.979942,city,spring,22-Mar-0023,BR-9,NaN,F,adult,M,1,91,42,113,24,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,16.4,,,101,1.583333333,0.409090909,0,,1,natural,marl cave,1,1,0,1
146,Bridge,13151.92898,5691.626481,2502.979942,city,spring,22-Mar-0023,BR-10,NaN,F,adult,F,1,96,35,136,22,NaN,1,mom pup,mom pup,pup is newborn,NaN,NaN,3,3,16.4,,,101,1.3125,0.409090909,0,,1,natural,marl cave,1,1,0,1
147,Bridge,13151.92898,5691.626481,2502.979942,city,spring,22-Mar-0023,BR-11,NaN,F,adult,F,1,86,38,114,20,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,16.4,,,101,1.533333333,0.409090909,0,,1,natural,marl cave,1,1,0,1
148,Bridge,13151.92898,5691.626481,2502.979942,city,spring,22-Mar-0023,BR-12,NaN,F,adult,F,1,93,35,145,20,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,16.4,,,101,1.25,0.409090909,0,,1,natural,marl cave,1,1,0,1
152,Bridge,13151.92898,5691.626481,2502.979942,city,spring,22-Mar-0023,BR-16,NaN,F,adult,F,1,95,38,138,23,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,16.4,,,91,1.666666667,0.90625,0,,1,natural,limestone cave,1,1,0,1
155,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,26-Mar-0023,JF -3,NaN,F,adult,F,1,93,40,129,31,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,16,,,91,1.652173913,0.90625,0,,1,natural,limestone cave,1,1,0,1
157,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,26-Mar-0023,JF -5,NaN,F,adult,M,1,89,44,130,27,NaN,1,mom pup,mom pup,,NaN,NaN,3,3,16,,,91,1.456521739,0.90625,0,,1,natural,limestone cave,1,1,0,1
163,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,26-Mar-0023,JF -11,NaN,F,adult,M,1,89,52,143,32,NaN,1,mom pup,mom pup,,NaN,NaN,4,4,16,,,91,1.451612903,0.90625,0,,1,natural,limestone cave,1,1,0,1
164,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,26-Mar-0023,JF -13,NaN,F,adult,M,1,98,44,135,23,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,16,,,91,1.734693878,0.90625,0,,1,natural,limestone cave,1,1,0,1
165,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,26-Mar-0023,JF -14,NaN,F,adult,F,1,99,52,145,31,NaN,1,mom pup,mom pup,,NaN,NaN,4,4,16,,,91,1.638297872,0.90625,0,,1,natural,limestone cave,1,1,0,1
166,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,26-Mar-0023,JF -15,NaN,F,adult,M,1,93,51,134,37,NaN,1,mom pup,mom pup,,NaN,NaN,8,8,16,,,91,1.638297872,0.90625,0,,1,natural,limestone cave,1,1,0,1
167,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,26-Mar-0023,JF -16,NaN,F,adult,M,1,95,48,135,30,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,16,,,91,1.677083333,0.90625,0,,1,natural,limestone cave,1,1,0,1
