Date___fert,date,Colony,type,Name,density_5km,density_15km,newChip,Sex,AGE,pup sex,pup,FA_mom,FA_pup,Weight_mom,pup_weight,preg_list,non_preg_list,min_reproductive_state,Reproductive_State,comments,BellyWidth,preg_parasites,parasites,nonpreg_parasites,mom&preg,Reproductive_State_numeric,temprature_IMS
28-Mar-23,91,Bnei Brit,rural,BB-9,551.6719246,884.9337109,,F,adult,,0,93,,140,,1,,pregnant,pregnant,,50,7,7,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-10,551.6719246,884.9337109,,F,adult,,0,86,,131,,1,,pregnant,pregnant,,41,2,2,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-11,551.6719246,884.9337109,,F,adult,,0,94,,161,,1,,pregnant,pregnant,,45,0,0,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-12,551.6719246,884.9337109,,F,adult,,0,95,,156,,1,,pregnant,pregnant,,45,1,1,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-13,551.6719246,884.9337109,,F,adult,,0,93,,158,,1,,pregnant,pregnant,,49,1,1,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-14,551.6719246,884.9337109,,F,adult,,0,94,,165,,1,,pregnant,pregnant,,48,1,1,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-15,551.6719246,884.9337109,,F,adult,,0,92,,153,,1,,pregnant,pregnant,,49,5,5,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-16,551.6719246,884.9337109,,F,adult,,0,96,,134,,1,,pregnant,pregnant,,35,1,1,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-17,551.6719246,884.9337109,,F,adult,,0,91,,153,,1,,pregnant,pregnant,,51,2,2,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-18,551.6719246,884.9337109,,F,adult,,0,95,,160,,1,,pregnant,pregnant,,51,1,1,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-19,551.6719246,884.9337109,,F,adult,,0,90,,151,,1,,pregnant,pregnant,,51,2,2,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-20,551.6719246,884.9337109,,F,adult,M,1,93,34,121,18,,1,non pregnant,mom pup,,,,0,0,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-21,551.6719246,884.9337109,,F,adult,,0,96,,179,,1,,pregnant,pregnant,,53,0,0,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-22,551.6719246,884.9337109,,F,adult,,0,96,,158,,1,,pregnant,pregnant,,45,0,0,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-23,551.6719246,884.9337109,,F,adult,,0,94,,151,,1,,pregnant,pregnant,,52,0,0,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-24,551.6719246,884.9337109,,F,adult,,0,93,,134,,1,,pregnant,pregnant,,30,0,0,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-25,551.6719246,884.9337109,,F,adult,,0,92,,153,,1,,pregnant,pregnant,,47,1,1,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-26,551.6719246,884.9337109,,F,adult,,0,93,,151,,1,,pregnant,pregnant,,45,2,2,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-27,551.6719246,884.9337109,,F,adult,,0,92,,139,,1,,pregnant,pregnant,,42,0,0,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-28,551.6719246,884.9337109,,F,adult,,0,93,,164,,1,,pregnant,pregnant,,45,0,0,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-29,551.6719246,884.9337109,,F,adult,,0,93,,154,,1,,pregnant,pregnant,,52,0,0,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-30,551.6719246,884.9337109,,F,adult,,0,100,,165,,1,,pregnant,pregnant,,50,1,1,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-31,551.6719246,884.9337109,,F,adult,,0,94,,156,,1,,pregnant,pregnant,,32,4,4,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-32,551.6719246,884.9337109,,F,adult,F,1,91,34,119,18,,1,non pregnant,mom pup,,,,1,1,1,,15
26-Mar-23,89,Jaffa,city,JF -1,14071.62687,6183.392671,,F,adult,,0,84,,102,,1,,pregnant,pregnant,,40,0,0,,0,,16
26-Mar-23,89,Jaffa,city,JF -2,14071.62687,6183.392671,,F,adult,,0,90,,112,,,1,non pregnant,non pregnant,,,,0,0,0,,16
26-Mar-23,89,Jaffa,city,JF -3,14071.62687,6183.392671,,F,adult,F,1,93,40,129,31,,1,non pregnant,mom pup,,,,2,2,1,,16
26-Mar-23,89,Jaffa,city,JF -4,14071.62687,6183.392671,,F,adult,,0,91,,120,,,1,non pregnant,non pregnant,,,,1,1,0,,16
26-Mar-23,89,Jaffa,city,JF -5,14071.62687,6183.392671,,F,adult,M,1,89,44,130,27,,1,non pregnant,mom pup,,,,3,3,1,,16
26-Mar-23,89,Jaffa,city,JF -6,14071.62687,6183.392671,,F,adult,,0,91,,115,,1,,pregnant,pregnant,,37,0,0,,1,,16
26-Mar-23,89,Jaffa,city,JF -7,14071.62687,6183.392671,,F,adult,,0,92,,124,,1,,pregnant,pregnant,,34,0,0,,1,,16
26-Mar-23,89,Jaffa,city,JF -8,14071.62687,6183.392671,,F,adult,,0,95,,168,,1,,pregnant,pregnant,,52,2,2,,1,,16
26-Mar-23,89,Jaffa,city,JF -9,14071.62687,6183.392671,,F,adult,,0,91,,119,,,1,non pregnant,non pregnant,,,,0,0,0,,16
26-Mar-23,89,Jaffa,city,JF -10,14071.62687,6183.392671,,F,adult,,0,95,,138,,,1,non pregnant,non pregnant,,,,2,2,0,,16
26-Mar-23,89,Jaffa,city,JF -11,14071.62687,6183.392671,,F,adult,M,1,89,52,143,32,,1,non pregnant,mom pup,,,,4,4,1,,16
26-Mar-23,89,Jaffa,city,JF -13,14071.62687,6183.392671,,F,adult,M,1,98,44,135,23,,1,non pregnant,mom pup,,,,2,2,1,,16
26-Mar-23,89,Jaffa,city,JF -14,14071.62687,6183.392671,,F,adult,F,1,99,52,145,31,,1,non pregnant,mom pup,,,,4,4,1,,16
26-Mar-23,89,Jaffa,city,JF -15,14071.62687,6183.392671,,F,adult,M,1,93,51,134,37,,1,non pregnant,mom pup,,,,8,8,1,,16
26-Mar-23,89,Jaffa,city,JF -16,14071.62687,6183.392671,,F,adult,M,1,95,48,135,30,,1,non pregnant,mom pup,,,,1,1,1,,16
26-Mar-23,89,Jaffa,city,JF -17,14071.62687,6183.392671,,F,adult,,0,94,,139,,1,,pregnant,pregnant,,45,0,0,,1,,16
26-Mar-23,89,Jaffa,city,JF -18,14071.62687,6183.392671,,F,adult,,0,96,,166,,1,,pregnant,pregnant,,60,2,2,,1,,16
26-Mar-23,89,Jaffa,city,JF -19,14071.62687,6183.392671,,F,adult,F,1,93,51,132,28,,1,non pregnant,mom pup,,,,1,1,1,,16
26-Mar-23,89,Jaffa,city,JF -20,14071.62687,6183.392671,,F,adult,F,1,96,43,140,30,,1,non pregnant,mom pup,,,,3,3,1,,16
26-Mar-23,89,Jaffa,city,JF -21,14071.62687,6183.392671,,F,adult,M,1,96,51,161,35,,1,non pregnant,mom pup,,,,1,1,1,,16
26-Mar-23,89,Jaffa,city,JF -22,14071.62687,6183.392671,,F,adult,M,1,104,52,139,29,,1,non pregnant,mom pup,,,,1,1,1,,16
26-Mar-23,89,Jaffa,city,JF -23,14071.62687,6183.392671,,F,adult,M,1,96,50,138,33,,1,non pregnant,mom pup,,,,1,1,1,,16
26-Mar-23,89,shontzino,city,SH-1,12809.91532,5427.677893,,F,adult,M,1,93,44,120,28,,1,non pregnant,mom pup,,,,5,5,1,,16.4
26-Mar-23,89,shontzino,city,SH-2,12809.91532,5427.677893,,F,adult,F,1,98,45,140,26,,1,non pregnant,mom pup,,,,0,0,1,,16.4
26-Mar-23,89,shontzino,city,SH-3,12809.91532,5427.677893,,F,adult,F,1,94,56,150,34,,1,non pregnant,mom pup,,,,2,2,1,,16.4
26-Mar-23,89,shontzino,city,SH-4,12809.91532,5427.677893,,F,adult,F,1,94,52,133,31,,1,non pregnant,mom pup,,,,0,0,1,,16.4
26-Mar-23,89,shontzino,city,SH-5,12809.91532,5427.677893,,F,adult,F,1,94,53,129,29,,1,non pregnant,mom pup,,,,1,1,1,,16.4
26-Mar-23,89,shontzino,city,SH-6,12809.91532,5427.677893,,F,adult,F,1,90,40,120,22,,1,non pregnant,mom pup,,,,0,0,1,,16.4
26-Mar-23,89,shontzino,city,SH-7,12809.91532,5427.677893,,F,adult,M,1,95,50,153,30,,1,non pregnant,mom pup,,,,2,2,1,,16.4
26-Mar-23,89,shontzino,city,SH-8,12809.91532,5427.677893,,F,adult,F,1,94,49,132,31,,1,non pregnant,mom pup,,,,2,2,1,,16.4
26-Mar-23,89,shontzino,city,SH-9,12809.91532,5427.677893,,F,adult,,0,90,,122,,1,,pregnant,pregnant,27.3.23 capture,38,0,0,,1,,16.4
26-Mar-23,89,shontzino,city,SH-10,12809.91532,5427.677893,,F,adult,,0,89,,120,,1,,pregnant,pregnant,"abbcess in lower abdomen, 9.4.23 capture",27,5,5,,1,,16.4
31-Mar-23,94,Dizengof center,city,CR-1,12950.51342,5850.369695,,F,adult,F,1,94,62,139,40,,1,non pregnant,mom pup,,,,1,1,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-2,12950.51342,5850.369695,,F,adult,F,1,97,58,110,28,,1,non pregnant,mom pup,,,,2,2,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-3,12950.51342,5850.369695,,F,adult,,0,88,,95,,,1,non pregnant,non pregnant,,,,0,0,0,,17.7
31-Mar-23,94,Dizengof center,city,CR-4,12950.51342,5850.369695,,F,adult,F,1,100,62,126,36,,1,non pregnant,mom pup,,,,2,2,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-5,12950.51342,5850.369695,,F,adult,,0,97,,131,,1,,pregnant,mom pup,,36,0,0,,0,,17.7
31-Mar-23,94,Dizengof center,city,CR-6,12950.51342,5850.369695,,F,adult,F,1,93,62,102,30,,1,non pregnant,mom pup,,,,0,0,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-7,12950.51342,5850.369695,,F,adult,,0,90,,108,,,1,non pregnant,mom pup,,,,0,0,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-8,12950.51342,5850.369695,,F,adult,M,1,94,67,123,46,,1,non pregnant,mom pup,,,,2,2,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-9,12950.51342,5850.369695,,F,adult,M,1,89,69,125,44,,1,non pregnant,mom pup,,,,3,3,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-10,12950.51342,5850.369695,2.33E+11,F,adult,,0,92,,107,,,1,non pregnant,non pregnant,recapture,,,2,2,0,,17.7
31-Mar-23,94,Dizengof center,city,CR-11,12950.51342,5850.369695,,F,adult,M,1,95,66,123,41,,1,non pregnant,mom pup,,,,2,2,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-12,12950.51342,5850.369695,,F,adult,F,1,94,68,125,43,,1,non pregnant,mom pup,,,,1,1,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-13,12950.51342,5850.369695,,F,adult,F,1,93,57,106,36,,1,non pregnant,mom pup,,,,1,1,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-14,12950.51342,5850.369695,,F,adult,,0,92,,100,,,1,non pregnant,non pregnant,,,,0,0,0,,17.7
31-Mar-23,94,Dizengof center,city,CR-15,12950.51342,5850.369695,,F,adult,M,1,95,69,116,44,,1,non pregnant,mom pup,,,,2,2,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-16,12950.51342,5850.369695,,F,adult,M,1,98,65,121,40,,1,non pregnant,mom pup,,,,3,3,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-17,12950.51342,5850.369695,,F,adult,,0,95,,111,,1,,pregnant,pregnant,,35,2,2,,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-18,12950.51342,5850.369695,,F,adult,M,1,95,65,123,37,,1,non pregnant,mom pup,,,,3,3,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-19,12950.51342,5850.369695,,F,adult,,0,94,,122,,,1,non pregnant,non pregnant,,,,1,1,0,,17.7
31-Mar-23,94,Dizengof center,city,CR-20,12950.51342,5850.369695,,F,adult,F,1,95,67,113,30,,1,non pregnant,mom pup,,,,2,2,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-21,12950.51342,5850.369695,,F,adult,M,1,95,66,118,40,,1,non pregnant,mom pup,,,,1,1,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-22,12950.51342,5850.369695,,F,adult,F,1,95,66,113,33,,1,non pregnant,mom pup,,,,2,2,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-23,12950.51342,5850.369695,,F,adult,,0,85,,91,,1,,pregnant,pregnant,,31,0,0,,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-24,12950.51342,5850.369695,,F,adult,M,1,95,60,125,37,,1,non pregnant,mom pup,,,,1,1,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-25,12950.51342,5850.369695,,F,adult,,0,94,,126,,,1,non pregnant,non pregnant,,,,0,0,0,,17.7
31-Mar-23,94,Dizengof center,city,CR-26,12950.51342,5850.369695,,F,adult,M,1,95,62,108,35,,1,non pregnant,mom pup,,,,4,4,1,,17.7
31-Mar-23,94,Dizengof center,city,CR-27,12950.51342,5850.369695,,F,adult,F,1,93,56,122,28,,1,non pregnant,mom pup,,,,2,2,1,,17.7
28-Mar-23,91,Segafim,rural,SG-1,407.8869522,341.8639742,,F,adult,,0,98,,160,,1,,pregnant,pregnant,,47,1,1,,1,,14.8
